publish_date,title,channel,time_periods,coordinate_count,coordinates,coordinates_raw,content_preview,url,scraped_at,start_date,end_date
2026-03-30,军事行动—琼航警38/26,海南海事局,04/01 0800-1200,4,"19.925,110.9622; 19.9325,110.9908; 19.878,111.0085; 19.8732,110.9795",19-55.50N 110-57.73E; 19-55.95N 110-59.45E; 19-52.68N 111-00.51E; 19-52.39N 110-58.77E,琼航警38/26 发布时间：2026-03-30 18:46 [字体： 大 中 小 ] 分享到： 琼航警38/26，南海，4月1日，0800时至1200时，在以19-55.50N 110-57.73E、19-55.95N 110-59.45E、19-52.68N 111-00.51E、19-52.39N 110-58.77E四点连线水域范围内进行军事行动，禁止驶入。,https://www.msa.gov.cn/page/article.do?articleId=c486c2f3-ff0e-4bc3-ae8f-32ae2f7fb93e&channelId=D3340711-057B-494B-8FA0-9EEDC4C5EAD9,2026-04-03T04:39:16.742024,2026-04-01,2026-04-01
2026-03-30,MILITARY OPERATION—HN36/26,海南海事局,,3,"19.925,110.9622; 19.9325,110.9908; 19.878,111.0085",19-55.50N 110-57.73E; 19-55.95N 110-59.45E; 19-52.68N 111-00.51E,English x 中国海事公众号 海事通App 首页 机构职能 机构职责 领导介绍 内设机构 直属单位 政府信息公开 法定主动公开内容 政府信息公开指南 政府信息公开制度 政府信息公开年报 依申请公开 互联网+政务 我要办事 在线查询 航行安全 AIS信息服务 安全信息 北极航道 安全知识 潮汐查询 搜救辅助 海图改正通告 海图服务 事故教训 海事履约 互动交流 在线访谈 网上咨询 政策法规解读 意见征集·在线调查 局长信箱 投诉举报 海事数据 首页 航行安全 安全信息 航行警告 海南海事局 MILITARY OPERATION—HN36/26 来源：清澜海事局 文号：HN36/26 发布时间：2026-03-30 18:46 [字体： 大 中 小 ] 分享到： HN36/26 SOUTH CHINA SEA . MILITARY OPERATION IN AREA BOUNDED BY THE LINES JOINING 19-55.50N 110-57.73E、19-55.95N 110-59.45E、19-52.68N 111-00.51E、19-52.39N 110-58.7,https://www.msa.gov.cn/page/article.do?articleId=77460bc2f2ad5b52&channelId=D3340711-057B-494B-8FA0-9EEDC4C5EAD9,2026-04-03T04:39:18.918392,,
2026-06-26,实弹射击—云航警102/26,连云港海事局,06/28 0000 至 07/08 2400；07/09 0800 至 07/10 1800,4,"34.2183,120.3; 34.2042,120.588; 34.0217,120.688; 33.9167,120.618",34-13.10N120-18.00E; 34-12.25N120-35.28E; 34-01.30N120-41.28E; 33-55.00N120-37.08E,English 首页 机构职能 机构职责 领导介绍 内设机构 直属单位 政府信息公开 法定主动公开内容 政府信息公开指南 政府信息公开制度 政府信息公开年报 依申请公开 互联网+政务 我要办事 在线查询 航行安全 AIS信息服务 安全信息 北极航道 安全知识 潮汐查询 搜救辅助 海图改正通告 海图服务 事故教训 海事履约 互动交流 在线访谈 政策法规解读 网上咨询 意见征集·在线调查 局长信箱 投诉举报 海事数据 首页 航行安全 安全信息 航行警告 连云港海事局 实弹射击—云航警102/26 来源：盐城海事局 文号：云航警102/26 发布时间：2026-06-26 12:05 [字体： 大 中 小 ] 分享到： 云航警102/26，黄海南部，自6月28日0000时至7月8日2400时在34-13.10N120-18.00E，34-12.25N120-35.28E，34-01.30N120-41.28E，33-55.00N120-37.08E，33-55.00N120-26.20诸点连线范围内进行实弹射击。自7月9日0800时至7月10日1800时在34-03.11N120-24.23,https://www.msa.gov.cn/html/cnmsa/hxaq/article/2026/79126710228349029aeef3be94c07fbe.html?hav=1jWj6r2hy0earqWPrAFCrK6Bjk,2026-07-11T01:36:29.624504,2026-06-28,2026-07-10
2026-06-30,火箭发射—琼航警116/26,海南海事局,07/02-07/03 每日 2050-2250,1,"19.6,110.93",19-36.00N 110-55.80E,琼航警116/26，南海，自7月2日至7月3日，每日2050时至2250时，在以19-36.00N 110-55.80E为中心，5.4海里为半径的圆形区域内进行火箭发射，禁止驶入。,https://www.msa.gov.cn/html/cnmsa/hxaq/article/2026/a6fcf27a094d4af3acc4cbed1605304f.html?hav=1jWj6r2hy0eaxkS9FLhQN6ovxI,2026-07-11T01:36:20.490109,2026-07-02,2026-07-03
2026-06-30,实弹射击—辽航警285/26,辽宁海事局,07/01 1000 至 07/02 1700；07/06 1200 至 07/08 1700,4,"38.7333,122.0667; 38.7333,122.1333; 38.6667,122.1333; 38.6667,122.0667",38-44N122-04E; 38-44N122-08E; 38-40N122-08E; 38-40N122-04E,辽航警285/26，黄海北部，自7月1日1000时至2日1700时和自7月6日1200时至8日1700时在38-44N122-04E、38-44N122-08E、38-40N122-08E、38-40N122-04E诸点连线范围内实弹射击。禁止驶入。,https://www.msa.gov.cn/html/cnmsa/hxaq/article/2026/d71f8f7074fb402faa1d245d7db00b1d.html?hav=1jWj6r2hy0eaxkS9FXIm5zSGZl,2026-07-11T01:35:49.114235,2026-07-01,2026-07-08
2026-07-01,火箭残骸掉落—琼航警117/26,海南海事局,07/04 1630-1830,4,"18.8875,111.8597; 18.9015,112.4347; 17.7237,112.4568; 17.7097,111.8908",18-53.25N/111-51.58E; 18-54.09N/112-26.08E; 17-43.42N/112-27.41E; 17-42.58N/111-53.45E,琼航警117/26，南海，7月4日1630时至1830时，在18-53.25N/111-51.58E、18-54.09N/112-26.08E、17-43.42N/112-27.41E和17-42.58N/111-53.45E诸点连线水域范围内有火箭残骸掉落，禁止驶入。,https://www.msa.gov.cn/html/cnmsa/hxaq/article/2026/5417c6c0d41b43acad247b7a49f2517b.html?hav=1jWj6r2hy2Jd7vvfjP1sP66g67,2026-07-11T01:36:17.968995,2026-07-04,2026-07-04
2026-07-03,火箭发射—琼航警119/26,海南海事局,07/05-07/06 每日 2030-2230,1,"19.6,110.93",19-36.00N 110-55.80E,琼航警119/26，南海，自7月5日至7月6日，每日2030时至2230时，在以19-36.00N 110-55.80E为中心，5.4海里为半径的圆形区域内进行火箭发射，禁止驶入。,https://www.msa.gov.cn/html/cnmsa/hxaq/article/2026/5fca7de62ea84528bff95e76cd9c02bc.html?hav=1jWj6r2hy2Jd7yrAqbVFEefKD6,2026-07-11T01:36:16.018135,2026-07-05,2026-07-06
2026-07-03,火箭发射—琼航警120/26,海南海事局,07/10-07/11 每日 1240-1540,1,"19.5975,110.9363",19-35.85N 110-56.18E,琼航警120/26，南海，自7月10日至7月11日，每日1240时至1540时，在以19-35.85N 110-56.18E为中心，5.4海里为半径的圆形区域内进行火箭发射，禁止驶入。,https://www.msa.gov.cn/html/cnmsa/hxaq/article/2026/5551b3a9773d4c38ab81d4bd91e1f85e.html?hav=1jWj6r2hy2Jd7yrAqbVFEefKHE,2026-07-11T01:36:14.059249,2026-07-10,2026-07-11
2026-07-03,军事任务—辽航警288/26,辽宁海事局,07/06 1200 至 07/18 1800,4,"39.85,119.8833; 39.85,120.6167; 39.3167,120.6167; 39.3167,119.8833",39-51N119-53E; 39-51N120-37E; 39-19N120-37E; 39-19N119-53E,辽航警288/26，渤海，自7月6日1200时至18日1800时在39-51N119-53E、39-51N120-37E、39-19N120-37E、39-19N119-53E诸点连线范围内执行军事任务。禁止驶入。,https://www.msa.gov.cn/html/cnmsa/hxaq/article/2026/9e530e8c166b4ac9aa792e8a47aab5c6.html?hav=1jWj6r2hy2Jd7yrAqhwsvvO2zs,2026-07-11T01:35:47.188678,2026-07-06,2026-07-18
2026-07-03,MILITARY MISSION—LN252/26,辽宁海事局,07/06 0400 至 07/18 1000,4,"39.85,119.8833; 39.85,120.6167; 39.3167,120.6167; 39.3167,119.8833",39-51N119-53E; 39-51N120-37E; 39-19N120-37E; 39-19N119-53E,"English 首页 机构职能 机构职责 领导介绍 内设机构 直属单位 政府信息公开 法定主动公开内容 政府信息公开指南 政府信息公开制度 政府信息公开年报 依申请公开 互联网+政务 我要办事 在线查询 航行安全 AIS信息服务 安全信息 北极航道 安全知识 潮汐查询 搜救辅助 海图改正通告 海图服务 事故教训 海事履约 互动交流 在线访谈 政策法规解读 网上咨询 意见征集·在线调查 局长信箱 投诉举报 海事数据 首页 航行安全 安全信息 航行警告 辽宁海事局 MILITARY MISSION—LN252/26 来源：大连海事局 文号：LN252/26 发布时间：2026-07-03 16:43 [字体： 大 中 小 ] 分享到： LN252/26 BOHAI SEA MILITARY MISSION IN AREA BOUNDED BY THE LINES JOINING 39-51N119-53E,39-51N120-37E,39-19N120-37E,39-19N119-53E FROM 060400UTC TO 181000UTC JUL.ENTERING PROHIBITED",https://www.msa.gov.cn/html/cnmsa/hxaq/article/2026/81f60e60b94058f6.html?hav=1jWj6r2hy2Jd7yrAqhwsvvO2zs,2026-07-11T01:35:45.243483,2026-07-06,2026-07-18
2026-07-03,火箭残骸掉落—琼航警121/26,海南海事局,07/04 1630-2230,4,"18.8875,111.8597; 18.9015,112.4347; 17.7237,112.4568; 17.7097,111.8908",18-53.25N/111-51.58E; 18-54.09N/112-26.08E; 17-43.42N/112-27.41E; 17-42.58N/111-53.45E,琼航警121/26，南海，7月4日1630时至2230时，在18-53.25N/111-51.58E、18-54.09N/112-26.08E、17-43.42N/112-27.41E和17-42.58N/111-53.45E诸点连线水域范围内有火箭残骸掉落，禁止驶入。,https://www.msa.gov.cn/html/cnmsa/hxaq/article/2026/7cf84563af1a491f9603ba8177ad55ee.html?hav=1jWj6r2hy2Jd7yrAqgex6fcgfy,2026-07-11T01:36:12.136794,2026-07-04,2026-07-04
2026-07-05,渤海军事演习—辽航警290/26,辽宁海事局,07/06 1500 至 07/07 0800,6,"39.8517,119.8637; 40.1897,120.3922; 40.1855,120.507; 40.3628,120.5888; 40.1105,120.6313; 39.7025,120.0163",39-51.1N 119-51.82E; 40-11.38N 120-23.53E; 40-11.13N 120-30.42E; 40-21.77N 120-35.33E; 40-06.63N 120-37.88E; 39-42.15N 120-00.98E,辽航警290/26，渤海，自7月6日1500时至7月7日0800时在39-51.1N 119-51.82E、40-11.38N 120-23.53E、40-11.13N 120-30.42E、40-21.77N 120-35.33E、40-06.63N 120-37.88E和39-42.15N 120-00.98E诸点连线范围内进行军事演习。禁止驶入。,https://www.msa.gov.cn/html/cnmsa/hxaq/article/2026/3c383e9a504749889b627b322089143c.html?hav=1jWj6r2hy2Jd81mfxx06MOQmGf,2026-07-11T01:35:37.166370,2026-07-06,2026-07-07
2026-07-05,BOHAI SEA  MILITARY EXERCISES—LN254/26,辽宁海事局,,4,"39.8517,119.8637; 40.1897,120.3922; 40.1855,120.507; 40.3628,120.5888",39-51.1N 119-51.82E; 40-11.38N 120-23.53E; 40-11.13N 120-30.42E; 40-21.77N 120-35.33E,"English 首页 机构职能 机构职责 领导介绍 内设机构 直属单位 政府信息公开 法定主动公开内容 政府信息公开指南 政府信息公开制度 政府信息公开年报 依申请公开 互联网+政务 我要办事 在线查询 航行安全 AIS信息服务 安全信息 北极航道 安全知识 潮汐查询 搜救辅助 海图改正通告 海图服务 事故教训 海事履约 互动交流 在线访谈 政策法规解读 网上咨询 意见征集·在线调查 局长信箱 投诉举报 海事数据 首页 航行安全 安全信息 航行警告 辽宁海事局 BOHAI SEA  MILITARY EXERCISES—LN254/26 来源：葫芦岛海事局 文号：LN254/26 发布时间：2026-07-05 19:13 [字体： 大 中 小 ] 分享到： LN254/26 BOHAI SEA MILITARY EXERCISES IN AREA BOUNDED BY THE LINES JOINING 39-51.1N 119-51.82E,40-11.38N 120-23.53E,40-11.13N 120-30.42E,40-21.77N 120-35.33E,40-06.63",https://www.msa.gov.cn/html/cnmsa/hxaq/article/2026/92221db9e0ba989a.html?hav=1jWj6r2hy2Jd81mfxx06MOQmGf,2026-07-11T01:35:40.413535,,
2026-07-05,渤海军事演习—辽航警290/26,辽宁海事局,07/06 1500 至 07/07 0800,6,"39.8517,119.8637; 40.1897,120.3922; 40.1855,120.507; 40.3628,120.5888; 40.1105,120.6313; 39.7025,120.0163",39-51.1N 119-51.82E; 40-11.38N 120-23.53E; 40-11.13N 120-30.42E; 40-21.77N 120-35.33E; 40-06.63N 120-37.88E; 39-42.15N 120-00.98E,辽航警290/26，渤海，自7月6日1500时至7月7日0800时在39-51.1N 119-51.82E、40-11.38N 120-23.53E、40-11.13N 120-30.42E、40-21.77N 120-35.33E、40-06.63N 120-37.88E和39-42.15N 120-00.98E诸点连线范围内进行军事演习。禁止驶入。,https://www.msa.gov.cn/html/cnmsa/hxaq/article/2026/3c383e9a504749889b627b322089143c.html?hav=1jWj6r2hy2Jd81mg35QGzIKklv,2026-07-14T05:08:47.487460,2026-07-06,2026-07-07
2026-07-05,火箭残骸掉落—辽航警289/26,辽宁海事局,07/06 0800 至 07/08 1500,4,"38.7833,121.2833; 38.3667,122.3667; 38.0,122.15; 38.4167,121.05",38-47N121-17E; 38-22N122-22E; 38-00N122-09E; 38-25N121-03E,辽航警289/26，渤海海峡黄海北部，自7月6日0800时至8日1500时在38-47N121-17E、38-22N122-22E、38-00N122-09E、38-25N121-03E诸点连线范围内有火箭残骸掉落。禁止驶入。,https://www.msa.gov.cn/html/cnmsa/hxaq/article/2026/88b8dcd3168c42ef8ce0a45cd791a942.html?hav=1jWj6r2hy2Jd81mfxpGXRKzrPS,2026-07-11T01:35:42.429936,2026-07-06,2026-07-08
2026-07-06,实弹射击—辽航警291/26,辽宁海事局,07/07 1200 至 07/10 1200,4,"38.75,122.2167; 38.75,122.3333; 38.6667,122.3333; 38.6667,122.2167",38-45N122-13E; 38-45N122-20E; 38-40N122-20E; 38-40N122-13E,辽航警291/26，黄海北部，自7月7日1200时至10日1200时在38-45N122-13E、38-45N122-20E、38-40N122-20E、38-40N122-13E诸点连线范围内实弹射击。禁止驶入。,https://www.msa.gov.cn/html/cnmsa/hxaq/article/2026/2f598937be854e929b234165f3a3077b.html?hav=1jWj6r2hy2Jd83FQWR9BCUUY88,2026-07-11T01:35:34.011416,2026-07-07,2026-07-10
2026-07-08,实弹射击—粤航警442/26,广东海事局,07/09 至 07/11,0,,,粤航警442/26，北部湾，7月9日至11日，在以下六点连线海域内进行实弹射击： （1）21-20.0N，109-30.0E； （2）21-20.0N，109-44.0E； （3）21-15.5N，109-47.5E； （4）21-13.5N，109-47.5E； （5）21-10.0N，109-44.0E； （6）21-10.0N，109-30.0E。禁止驶入。,https://www.msa.gov.cn/html/cnmsa/hxaq/article/2026/8a448c585102458e80a5107aaaf841a0.html?hav=1jWj6r2hy2Jd86AvdYSq5Gt0AV,2026-07-11T01:36:04.711410,2026-07-09,2026-07-11
2026-07-08,BOHAI SEA MILITARY EXERCISES—LN257/26,辽宁海事局,,4,"40.6595,120.9947; 40.6595,121.0623; 40.629,121.0628; 40.6293,120.9935",40-39.57N 120-59.68E; 40-39.57N 121-03.74E; 40-37.74N 121-03.77E; 40-37.76N 120-59.61E,"English 首页 机构职能 机构职责 领导介绍 内设机构 直属单位 政府信息公开 法定主动公开内容 政府信息公开指南 政府信息公开制度 政府信息公开年报 依申请公开 互联网+政务 我要办事 在线查询 航行安全 AIS信息服务 安全信息 北极航道 安全知识 潮汐查询 搜救辅助 海图改正通告 海图服务 事故教训 海事履约 互动交流 在线访谈 政策法规解读 网上咨询 意见征集·在线调查 局长信箱 投诉举报 海事数据 首页 航行安全 安全信息 航行警告 辽宁海事局 BOHAI SEA MILITARY EXERCISES—LN257/26 来源：葫芦岛海事局 文号：LN257/26 发布时间：2026-07-08 22:29 [字体： 大 中 小 ] 分享到： LN257/26 BOHAI SEA MILITARY EXERCISES IN AREA BOUNDED BY THE LINES JOINING 40-39.57N 120-59.68E,40-39.57N 121-03.74E,40-37.74N 121-03.77E AND 40-37.76N 120-59.61E FROM",https://www.msa.gov.cn/html/cnmsa/hxaq/article/2026/6b513d543a298c41.html?hav=1jWj6r2hy2Jd86AvitmHjbLJuI,2026-07-11T01:35:32.079494,,
2026-07-08,渤海军事演习—辽航警293/26,辽宁海事局,07/09 1200-1900,4,"40.6595,120.9947; 40.6595,121.0623; 40.629,121.0628; 40.6293,120.9935",40-39.57N 120-59.68E; 40-39.57N 121-03.74E; 40-37.74N 121-03.77E; 40-37.76N 120-59.61E,辽航警293/26，渤海，自7月9日1200时至1900时在40-39.57N 120-59.68E、40-39.57N 121-03.74E、40-37.74N 121-03.77E和40-37.76N 120-59.61E诸点连线范围内进行军事演习。禁止驶入。,https://www.msa.gov.cn/html/cnmsa/hxaq/article/2026/4839cd2d4feb4488acf324c8c5e63164.html?hav=1jWj6r2hy2Jd86AvitmHjbLJuI,2026-07-11T01:35:29.297738,2026-07-09,2026-07-09
2026-07-09,应急演习—津航警207/26,天津海事局,07/10 0900-1100,4,"38.9837,117.7863; 38.981,117.7905; 38.9788,117.7878; 38.9812,117.7845",38-59.02N 117-47.18E; 38-58.86N 117-47.43E; 38-58.73N 117-47.27E; 38-58.87N 117-47.07E,津航警207/26，天津港，定于7月10日0900时至1100时，在天津港集装箱码头G36泊位前沿38-59.02N 117-47.18E、38-58.86N 117-47.43E、38-58.73N 117-47.27E、38-58.87N 117-47.07E四点连线水域范围内进行海上应急联合演习，无关船舶禁止驶入。,https://www.msa.gov.cn/html/cnmsa/hxaq/article/2026/fdb96e50d435458ea0b6405a36719079.html?hav=1jWj6r2hy2Jd87dgCFVCAiPgt6,2026-07-11T01:35:18.857145,2026-07-10,2026-07-10
2026-07-10,军事任务—辽航警294/26,辽宁海事局,07/12 1600 至 07/26 1600,4,"38.8617,121.6367; 38.57,121.6367; 38.565,121.1317; 38.8033,121.235",38-51.7N121-38.2E; 38-34.2N121-38.2E; 38-33.9N121-07.9E; 38-48.2N121-14.1E,辽航警294/26，渤海海峡黄海北部，自7月12日1600时至7月26日1600时在38-51.7N121-38.2E、38-34.2N121-38.2E、38-33.9N121-07.9E、38-48.2N121-14.1E诸点连线范围内执行军事任务。禁止驶入。,https://www.msa.gov.cn/html/cnmsa/hxaq/article/2026/a10863a2601549ad99028cf3c96dee37.html?hav=1jWj6r2hy2JdDxB9zu34FELwd5,2026-07-11T01:35:26.575875,2026-07-12,2026-07-26
